instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u120_01.txt,49,16,3,20,49,49,49,0.4903,10,0
u120_01.txt,49,16,3,35,49,49,49,0.519,10,0
u120_01.txt,49,16,3,50,49,49,49,0.574,10,0
u120_01.txt,49,16,3,70,49,49,49,0.6317,10,0
u120_01.txt,49,16,3,90,49.1,49,50,0.785,10,0
u120_01.txt,49,16,5,20,49,49,49,0.4867,10,0
u120_01.txt,49,16,5,35,49,49,49,0.5232,10,0
u120_01.txt,49,16,5,50,49,49,49,0.5808,10,0
u120_01.txt,49,16,5,70,49,49,49,0.6269,10,0
u120_01.txt,49,16,5,90,49.1,49,50,0.736,10,0
u120_01.txt,49,30,3,20,49,49,49,0.9221,10,0
u120_01.txt,49,30,3,35,49,49,49,0.9854,10,0
u120_01.txt,49,30,3,50,49,49,49,1.1025,10,0
u120_01.txt,49,30,3,70,49,49,49,1.179,10,0
u120_01.txt,49,30,3,90,49.1,49,50,1.4065,10,0
u120_01.txt,49,30,5,20,49,49,49,0.9309,10,0
u120_01.txt,49,30,5,35,49,49,49,1.0004,10,0
u120_01.txt,49,30,5,50,49,49,49,1.1054,10,0
u120_01.txt,49,30,5,70,49,49,49,1.1977,10,0
u120_01.txt,49,30,5,90,49,49,49,1.376,10,0
u120_01.txt,49,60,3,20,49,49,49,1.8442,10,0
u120_01.txt,49,60,3,35,49,49,49,1.9589,10,0
u120_01.txt,49,60,3,50,49,49,49,2.1837,10,0
u120_01.txt,49,60,3,70,49,49,49,2.4046,10,0
u120_01.txt,49,60,3,90,49,49,49,2.7955,10,0
u120_01.txt,49,60,5,20,49,49,49,1.8274,10,0
u120_01.txt,49,60,5,35,49,49,49,1.9496,10,0
u120_01.txt,49,60,5,50,49,49,49,2.155,10,0
u120_01.txt,49,60,5,70,49,49,49,2.3357,10,0
u120_01.txt,49,60,5,90,49,49,49,2.7155,10,0
u120_01.txt,49,100,3,20,49,49,49,3.0831,10,0
u120_01.txt,49,100,3,35,49,49,49,3.2712,10,0
u120_01.txt,49,100,3,50,49,49,49,3.6313,10,0
u120_01.txt,49,100,3,70,49,49,49,4.0442,10,0
u120_01.txt,49,100,3,90,49,49,49,4.7377,10,0
u120_01.txt,49,100,5,20,49,49,49,3.0568,10,0
u120_01.txt,49,100,5,35,49,49,49,3.3434,10,0
u120_01.txt,49,100,5,50,49,49,49,3.6298,10,0
u120_01.txt,49,100,5,70,49,49,49,4.1609,10,0
u120_01.txt,49,100,5,90,49,49,49,4.7504,10,0
