instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u500_00.txt,198,16,3,20,201,201,201,6.7064,10,0
u500_00.txt,198,16,3,35,201.1,201,202,7.5194,10,0
u500_00.txt,198,16,3,50,201.4,201,202,8.7512,10,0
u500_00.txt,198,16,3,70,202.3,201,203,9.981,10,0
u500_00.txt,198,16,3,90,203.1,202,204,11.1928,10,0
u500_00.txt,198,16,5,20,201,201,201,6.603,10,0
u500_00.txt,198,16,5,35,201.2,201,202,7.2384,10,0
u500_00.txt,198,16,5,50,202.1,201,203,8.676,10,0
u500_00.txt,198,16,5,70,202.5,201,204,9.62,10,0
u500_00.txt,198,16,5,90,202.8,202,204,11.3534,10,0
u500_00.txt,198,30,3,20,201,201,201,12.9602,10,0
u500_00.txt,198,30,3,35,201,201,201,14.5556,10,0
u500_00.txt,198,30,3,50,201.2,201,202,18.0435,10,0
u500_00.txt,198,30,3,70,202.4,201,203,18.909,10,0
u500_00.txt,198,30,3,90,202.2,202,203,24.558,10,0
u500_00.txt,198,30,5,20,201,201,201,12.4718,10,0
u500_00.txt,198,30,5,35,201.2,201,202,14.4369,10,0
u500_00.txt,198,30,5,50,201.4,201,202,15.6541,10,0
u500_00.txt,198,30,5,70,202.3,201,203,18.1894,10,0
u500_00.txt,198,30,5,90,202.5,202,203,22.7703,10,0
u500_00.txt,198,60,3,20,200.8,200,201,26.7796,10,0
u500_00.txt,198,60,3,35,201,201,201,28.9972,10,0
u500_00.txt,198,60,3,50,201,201,201,34.9645,10,0
u500_00.txt,198,60,3,70,201.7,201,202,40.2466,10,0
u500_00.txt,198,60,3,90,202.3,202,203,44.7653,10,0
u500_00.txt,198,60,5,20,201,201,201,24.7174,10,0
u500_00.txt,198,60,5,35,201,201,201,28.1894,10,0
u500_00.txt,198,60,5,50,201.4,201,202,35.7998,10,0
u500_00.txt,198,60,5,70,202,201,203,37.0328,10,0
u500_00.txt,198,60,5,90,202.5,202,203,43.4943,10,0
u500_00.txt,198,100,3,20,200.9,200,201,42.8636,10,0
u500_00.txt,198,100,3,35,201,201,201,45.8407,10,0
u500_00.txt,198,100,3,50,201,201,201,51.9944,10,0
u500_00.txt,198,100,3,70,201.7,201,202,66.867,10,0
u500_00.txt,198,100,3,90,202,202,202,78.4614,10,0
u500_00.txt,198,100,5,20,201,201,201,40.0676,10,0
u500_00.txt,198,100,5,35,201,201,201,45.9423,10,0
u500_00.txt,198,100,5,50,201,201,201,61.1437,10,0
u500_00.txt,198,100,5,70,201.7,201,202,69.1422,10,0
u500_00.txt,198,100,5,90,202.6,201,204,75.8955,10,0
