instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u120_01.txt,49,16,2,20,49,49,49,0.10193,100,0
u120_01.txt,49,16,2,35,49,49,49,0.10932,100,0
u120_01.txt,49,16,2,50,49,49,49,0.14475,100,0
u120_01.txt,49,16,2,60,49,49,49,0.16582,100,0
u120_01.txt,49,16,2,70,49,49,49,0.15894,100,0
u120_01.txt,49,16,2,80,49.26,49,50,0.19219,100,0
u120_01.txt,49,16,2,90,49.33,49,50,0.19781,100,0
u120_01.txt,49,16,3,20,49,49,49,0.10297,100,0
u120_01.txt,49,16,3,35,49,49,49,0.1111,100,0
u120_01.txt,49,16,3,50,49,49,49,0.14131,100,0
u120_01.txt,49,16,3,60,49,49,49,0.15201,100,0
u120_01.txt,49,16,3,70,49,49,49,0.15762,100,0
u120_01.txt,49,16,3,80,49.18,49,50,0.18923,100,0
u120_01.txt,49,16,3,90,49.28,49,50,0.18609,100,0
u120_01.txt,49,16,4,20,49,49,49,0.10465,100,0
u120_01.txt,49,16,4,35,49,49,49,0.11138,100,0
u120_01.txt,49,16,4,50,49,49,49,0.13579,100,0
u120_01.txt,49,16,4,60,49,49,49,0.14979,100,0
u120_01.txt,49,16,4,70,49,49,49,0.14737,100,0
u120_01.txt,49,16,4,80,49.19,49,50,0.1803,100,0
u120_01.txt,49,16,4,90,49.3,49,50,0.17637,100,0
u120_01.txt,49,16,5,20,49,49,49,0.10253,100,0
u120_01.txt,49,16,5,35,49,49,49,0.11119,100,0
u120_01.txt,49,16,5,50,49,49,49,0.13459,100,0
u120_01.txt,49,16,5,60,49,49,49,0.14586,100,0
u120_01.txt,49,16,5,70,49,49,49,0.14566,100,0
u120_01.txt,49,16,5,80,49.23,49,50,0.17871,100,0
u120_01.txt,49,16,5,90,49.24,49,50,0.17916,100,0
u120_01.txt,49,16,6,20,49,49,49,0.10184,100,0
u120_01.txt,49,16,6,35,49,49,49,0.11086,100,0
u120_01.txt,49,16,6,50,49,49,49,0.13167,100,0
u120_01.txt,49,16,6,60,49,49,49,0.14069,100,0
u120_01.txt,49,16,6,70,49,49,49,0.14324,100,0
u120_01.txt,49,16,6,80,49.17,49,50,0.17371,100,0
u120_01.txt,49,16,6,90,49.22,49,50,0.16801,100,0
u120_01.txt,49,16,8,20,49,49,49,0.10042,100,0
u120_01.txt,49,16,8,35,49,49,49,0.10857,100,0
u120_01.txt,49,16,8,50,49,49,49,0.12939,100,0
u120_01.txt,49,16,8,60,49,49,49,0.13831,100,0
u120_01.txt,49,16,8,70,49,49,49,0.13975,100,0
u120_01.txt,49,16,8,80,49.18,49,50,0.16462,100,0
u120_01.txt,49,16,8,90,49.24,49,50,0.16839,100,0
u120_01.txt,49,16,10,20,49,49,49,0.09961,100,0
u120_01.txt,49,16,10,35,49,49,49,0.1078,100,0
u120_01.txt,49,16,10,50,49,49,49,0.12895,100,0
u120_01.txt,49,16,10,60,49,49,49,0.13967,100,0
u120_01.txt,49,16,10,70,49,49,49,0.13584,100,0
u120_01.txt,49,16,10,80,49.18,49,50,0.16814,100,0
u120_01.txt,49,16,10,90,49.34,49,50,0.16047,100,0
u120_01.txt,49,20,2,20,49,49,49,0.12434,100,0
u120_01.txt,49,20,2,35,49,49,49,0.13547,100,0
u120_01.txt,49,20,2,50,49,49,49,0.17302,100,0
u120_01.txt,49,20,2,60,49,49,49,0.19431,100,0
u120_01.txt,49,20,2,70,49,49,49,0.19914,100,0
u120_01.txt,49,20,2,80,49.1,49,50,0.24969,100,0
u120_01.txt,49,20,2,90,49.15,49,50,0.25918,100,0
u120_01.txt,49,20,3,20,49,49,49,0.12391,100,0
u120_01.txt,49,20,3,35,49,49,49,0.13567,100,0
u120_01.txt,49,20,3,50,49,49,49,0.17027,100,0
u120_01.txt,49,20,3,60,49,49,49,0.18897,100,0
u120_01.txt,49,20,3,70,49,49,49,0.18777,100,0
u120_01.txt,49,20,3,80,49.1,49,50,0.24258,100,0
u120_01.txt,49,20,3,90,49.13,49,50,0.23573,100,0
u120_01.txt,49,20,4,20,49,49,49,0.12575,100,0
u120_01.txt,49,20,4,35,49,49,49,0.13532,100,0
u120_01.txt,49,20,4,50,49,49,49,0.16454,100,0
u120_01.txt,49,20,4,60,49,49,49,0.17978,100,0
u120_01.txt,49,20,4,70,49,49,49,0.18208,100,0
u120_01.txt,49,20,4,80,49.12,49,50,0.2213,100,0
u120_01.txt,49,20,4,90,49.14,49,50,0.22357,100,0
u120_01.txt,49,20,5,20,49,49,49,0.12686,100,0
u120_01.txt,49,20,5,35,49,49,49,0.13468,100,0
u120_01.txt,49,20,5,50,49,49,49,0.16222,100,0
u120_01.txt,49,20,5,60,49,49,49,0.17667,100,0
u120_01.txt,49,20,5,70,49,49,49,0.18032,100,0
u120_01.txt,49,20,5,80,49.16,49,50,0.21539,100,0
u120_01.txt,49,20,5,90,49.16,49,50,0.21956,100,0
u120_01.txt,49,20,6,20,49,49,49,0.12552,100,0
u120_01.txt,49,20,6,35,49,49,49,0.13508,100,0
u120_01.txt,49,20,6,50,49,49,49,0.16366,100,0
u120_01.txt,49,20,6,60,49,49,49,0.17355,100,0
u120_01.txt,49,20,6,70,49,49,49,0.17963,100,0
u120_01.txt,49,20,6,80,49.13,49,50,0.21564,100,0
u120_01.txt,49,20,6,90,49.22,49,50,0.2126,100,0
u120_01.txt,49,20,8,20,49,49,49,0.12371,100,0
u120_01.txt,49,20,8,35,49,49,49,0.13412,100,0
u120_01.txt,49,20,8,50,49,49,49,0.16099,100,0
u120_01.txt,49,20,8,60,49,49,49,0.16901,100,0
u120_01.txt,49,20,8,70,49,49,49,0.17102,100,0
u120_01.txt,49,20,8,80,49.11,49,50,0.20486,100,0
u120_01.txt,49,20,8,90,49.21,49,50,0.20919,100,0
u120_01.txt,49,20,10,20,49,49,49,0.12628,100,0
u120_01.txt,49,20,10,35,49,49,49,0.13508,100,0
u120_01.txt,49,20,10,50,49,49,49,0.16048,100,0
u120_01.txt,49,20,10,60,49,49,49,0.16976,100,0
u120_01.txt,49,20,10,70,49,49,49,0.17094,100,0
u120_01.txt,49,20,10,80,49.14,49,50,0.20145,100,0
u120_01.txt,49,20,10,90,49.2,49,50,0.20818,100,0
u120_01.txt,49,30,2,20,49,49,49,0.18787,100,0
u120_01.txt,49,30,2,35,49,49,49,0.20361,100,0
u120_01.txt,49,30,2,50,49,49,49,0.25635,100,0
u120_01.txt,49,30,2,60,49,49,49,0.30357,100,0
u120_01.txt,49,30,2,70,49,49,49,0.30639,100,0
u120_01.txt,49,30,2,80,49.05,49,50,0.41773,100,0
u120_01.txt,49,30,2,90,49.07,49,50,0.43404,100,0
u120_01.txt,49,30,3,20,49,49,49,0.18745,100,0
u120_01.txt,49,30,3,35,49,49,49,0.20461,100,0
u120_01.txt,49,30,3,50,49,49,49,0.25254,100,0
u120_01.txt,49,30,3,60,49,49,49,0.28542,100,0
u120_01.txt,49,30,3,70,49,49,49,0.28953,100,0
u120_01.txt,49,30,3,80,49.03,49,50,0.36489,100,0
u120_01.txt,49,30,3,90,49.06,49,50,0.38222,100,0
u120_01.txt,49,30,4,20,49,49,49,0.18858,100,0
u120_01.txt,49,30,4,35,49,49,49,0.20489,100,0
u120_01.txt,49,30,4,50,49,49,49,0.24648,100,0
u120_01.txt,49,30,4,60,49,49,49,0.27797,100,0
u120_01.txt,49,30,4,70,49,49,49,0.28138,100,0
u120_01.txt,49,30,4,80,49.05,49,50,0.3533,100,0
u120_01.txt,49,30,4,90,49.04,49,50,0.36271,100,0
u120_01.txt,49,30,5,20,49,49,49,0.18732,100,0
u120_01.txt,49,30,5,35,49,49,49,0.20451,100,0
u120_01.txt,49,30,5,50,49,49,49,0.24565,100,0
u120_01.txt,49,30,5,60,49,49,49,0.26968,100,0
u120_01.txt,49,30,5,70,49,49,49,0.27641,100,0
u120_01.txt,49,30,5,80,49.05,49,50,0.33941,100,0
u120_01.txt,49,30,5,90,49.07,49,50,0.34315,100,0
u120_01.txt,49,30,6,20,49,49,49,0.18866,100,0
u120_01.txt,49,30,6,35,49,49,49,0.20359,100,0
u120_01.txt,49,30,6,50,49,49,49,0.24446,100,0
u120_01.txt,49,30,6,60,49,49,49,0.26401,100,0
u120_01.txt,49,30,6,70,49,49,49,0.27612,100,0
u120_01.txt,49,30,6,80,49.02,49,50,0.33439,100,0
u120_01.txt,49,30,6,90,49.05,49,50,0.34323,100,0
u120_01.txt,49,30,8,20,49,49,49,0.19552,100,0
u120_01.txt,49,30,8,35,49,49,49,0.20693,100,0
u120_01.txt,49,30,8,50,49,49,49,0.24502,100,0
u120_01.txt,49,30,8,60,49,49,49,0.25828,100,0
u120_01.txt,49,30,8,70,49,49,49,0.26585,100,0
u120_01.txt,49,30,8,80,49.05,49,50,0.31529,100,0
u120_01.txt,49,30,8,90,49.07,49,50,0.32462,100,0
u120_01.txt,49,30,10,20,49,49,49,0.19387,100,0
u120_01.txt,49,30,10,35,49,49,49,0.21034,100,0
u120_01.txt,49,30,10,50,49,49,49,0.24378,100,0
u120_01.txt,49,30,10,60,49,49,49,0.25982,100,0
u120_01.txt,49,30,10,70,49,49,49,0.26437,100,0
u120_01.txt,49,30,10,80,49.07,49,50,0.31032,100,0
u120_01.txt,49,30,10,90,49.08,49,50,0.31179,100,0
u120_01.txt,49,40,2,20,49,49,49,0.25466,100,0
u120_01.txt,49,40,2,35,49,49,49,0.27476,100,0
u120_01.txt,49,40,2,50,49,49,49,0.34715,100,0
u120_01.txt,49,40,2,60,49,49,49,0.40801,100,0
u120_01.txt,49,40,2,70,49,49,49,0.41951,100,0
u120_01.txt,49,40,2,80,49.05,49,50,0.57152,100,0
u120_01.txt,49,40,2,90,49.03,49,50,0.58787,100,0
u120_01.txt,49,40,3,20,49,49,49,0.25043,100,0
u120_01.txt,49,40,3,35,49,49,49,0.27572,100,0
u120_01.txt,49,40,3,50,49,49,49,0.33844,100,0
u120_01.txt,49,40,3,60,49,49,49,0.3884,100,0
u120_01.txt,49,40,3,70,49,49,49,0.39337,100,0
u120_01.txt,49,40,3,80,49.01,49,50,0.50511,100,0
u120_01.txt,49,40,3,90,49.02,49,50,0.54205,100,0
u120_01.txt,49,40,4,20,49,49,49,0.25679,100,0
u120_01.txt,49,40,4,35,49,49,49,0.28085,100,0
u120_01.txt,49,40,4,50,49,49,49,0.34392,100,0
u120_01.txt,49,40,4,60,49,49,49,0.38221,100,0
u120_01.txt,49,40,4,70,49,49,49,0.39039,100,0
u120_01.txt,49,40,4,80,49.02,49,50,0.48065,100,0
u120_01.txt,49,40,4,90,49.01,49,50,0.50079,100,0
u120_01.txt,49,40,5,20,49,49,49,0.25666,100,0
u120_01.txt,49,40,5,35,49,49,49,0.27647,100,0
u120_01.txt,49,40,5,50,49,49,49,0.33779,100,0
u120_01.txt,49,40,5,60,49,49,49,0.37074,100,0
u120_01.txt,49,40,5,70,49,49,49,0.37829,100,0
u120_01.txt,49,40,5,80,49.01,49,50,0.45205,100,0
u120_01.txt,49,40,5,90,49.04,49,50,0.45979,100,0
u120_01.txt,49,40,6,20,49,49,49,0.25142,100,0
u120_01.txt,49,40,6,35,49,49,49,0.27257,100,0
u120_01.txt,49,40,6,50,49,49,49,0.32708,100,0
u120_01.txt,49,40,6,60,49,49,49,0.36026,100,0
u120_01.txt,49,40,6,70,49,49,49,0.37149,100,0
u120_01.txt,49,40,6,80,49.01,49,50,0.43013,100,0
u120_01.txt,49,40,6,90,49.02,49,50,0.46084,100,0
u120_01.txt,49,40,8,20,49,49,49,0.25209,100,0
u120_01.txt,49,40,8,35,49,49,49,0.27194,100,0
u120_01.txt,49,40,8,50,49,49,49,0.32313,100,0
u120_01.txt,49,40,8,60,49,49,49,0.34839,100,0
u120_01.txt,49,40,8,70,49,49,49,0.36105,100,0
u120_01.txt,49,40,8,80,49.03,49,50,0.41904,100,0
u120_01.txt,49,40,8,90,49.02,49,50,0.42924,100,0
u120_01.txt,49,40,10,20,49,49,49,0.25319,100,0
u120_01.txt,49,40,10,35,49,49,49,0.27529,100,0
u120_01.txt,49,40,10,50,49,49,49,0.32522,100,0
u120_01.txt,49,40,10,60,49,49,49,0.35067,100,0
u120_01.txt,49,40,10,70,49,49,49,0.36163,100,0
u120_01.txt,49,40,10,80,49,49,49,0.42337,100,0
u120_01.txt,49,40,10,90,49.02,49,50,0.42774,100,0
