instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u250_00.txt,99,16,2,20,100,100,100,0.37475,100,0
u250_00.txt,99,16,2,35,100,100,100,0.42241,100,0
u250_00.txt,99,16,2,50,100.69,100,101,0.54972,100,0
u250_00.txt,99,16,2,60,100.98,100,101,0.48387,100,0
u250_00.txt,99,16,2,70,100.99,100,101,0.55012,100,0
u250_00.txt,99,16,2,80,101,101,101,0.619,100,0
u250_00.txt,99,16,2,90,101,101,101,0.71077,100,0
u250_00.txt,99,16,3,20,100,100,100,0.37472,100,0
u250_00.txt,99,16,3,35,100,100,100,0.40794,100,0
u250_00.txt,99,16,3,50,100.63,100,101,0.53347,100,0
u250_00.txt,99,16,3,60,101,101,101,0.46,100,0
u250_00.txt,99,16,3,70,101,101,101,0.51573,100,0
u250_00.txt,99,16,3,80,101,101,101,0.58147,100,0
u250_00.txt,99,16,3,90,101.01,101,102,0.65276,100,0
u250_00.txt,99,16,4,20,100,100,100,0.36728,100,0
u250_00.txt,99,16,4,35,100,100,100,0.40356,100,0
u250_00.txt,99,16,4,50,100.62,100,101,0.52319,100,0
u250_00.txt,99,16,4,60,100.99,100,101,0.47156,100,0
u250_00.txt,99,16,4,70,101,101,101,0.52512,100,0
u250_00.txt,99,16,4,80,101,101,101,0.57474,100,0
u250_00.txt,99,16,4,90,101,101,101,0.62149,100,0
u250_00.txt,99,16,5,20,100,100,100,0.36637,100,0
u250_00.txt,99,16,5,35,100,100,100,0.40909,100,0
u250_00.txt,99,16,5,50,100.67,100,101,0.51968,100,0
u250_00.txt,99,16,5,60,101,101,101,0.46667,100,0
u250_00.txt,99,16,5,70,101,101,101,0.50648,100,0
u250_00.txt,99,16,5,80,101,101,101,0.54545,100,0
u250_00.txt,99,16,5,90,101,101,101,0.61787,100,0
u250_00.txt,99,16,6,20,100,100,100,0.37008,100,0
u250_00.txt,99,16,6,35,100,100,100,0.41602,100,0
u250_00.txt,99,16,6,50,100.7,100,101,0.49706,100,0
u250_00.txt,99,16,6,60,100.99,100,101,0.45724,100,0
u250_00.txt,99,16,6,70,101,101,101,0.50236,100,0
u250_00.txt,99,16,6,80,101,101,101,0.54644,100,0
u250_00.txt,99,16,6,90,101,101,101,0.5982,100,0
u250_00.txt,99,16,8,20,100,100,100,0.37186,100,0
u250_00.txt,99,16,8,35,100,100,100,0.41328,100,0
u250_00.txt,99,16,8,50,100.67,100,101,0.49375,100,0
u250_00.txt,99,16,8,60,100.98,100,101,0.45855,100,0
u250_00.txt,99,16,8,70,100.99,100,101,0.49869,100,0
u250_00.txt,99,16,8,80,101,101,101,0.52895,100,0
u250_00.txt,99,16,8,90,101.01,101,102,0.60596,100,0
u250_00.txt,99,16,10,20,100,100,100,0.37445,100,0
u250_00.txt,99,16,10,35,100,100,100,0.40446,100,0
u250_00.txt,99,16,10,50,100.71,100,101,0.49148,100,0
u250_00.txt,99,16,10,60,101,101,101,0.4691,100,0
u250_00.txt,99,16,10,70,101,101,101,0.50561,100,0
u250_00.txt,99,16,10,80,101,101,101,0.5643,100,0
u250_00.txt,99,16,10,90,101,101,101,0.62072,100,0
u250_00.txt,99,20,2,20,100,100,100,0.48647,100,0
u250_00.txt,99,20,2,35,100,100,100,0.5415,100,0
u250_00.txt,99,20,2,50,100.54,100,101,0.75381,100,0
u250_00.txt,99,20,2,60,100.99,100,101,0.59976,100,0
u250_00.txt,99,20,2,70,101,101,101,0.67083,100,0
u250_00.txt,99,20,2,80,101,101,101,0.75215,100,0
u250_00.txt,99,20,2,90,101,101,101,0.89053,100,0
u250_00.txt,99,20,3,20,100,100,100,0.47267,100,0
u250_00.txt,99,20,3,35,100,100,100,0.52341,100,0
u250_00.txt,99,20,3,50,100.47,100,101,0.72441,100,0
u250_00.txt,99,20,3,60,100.99,100,101,0.58022,100,0
u250_00.txt,99,20,3,70,101,101,101,0.66567,100,0
