instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u120_00.txt,48,16,3,20,49,49,49,0.4725,10,0
u120_00.txt,48,16,3,35,49,49,49,0.4955,10,0
u120_00.txt,48,16,3,50,49,49,49,0.5287,10,0
u120_00.txt,48,16,3,70,49,49,49,0.5816,10,0
u120_00.txt,48,16,3,90,49,49,49,0.6494,10,0
u120_00.txt,48,16,5,20,49,49,49,0.4688,10,0
u120_00.txt,48,16,5,35,49,49,49,0.5069,10,0
u120_00.txt,48,16,5,50,48.9,48,49,0.5611,10,0
u120_00.txt,48,16,5,70,49,49,49,0.5911,10,0
u120_00.txt,48,16,5,90,49,49,49,0.6677,10,0
u120_00.txt,48,30,3,20,49,49,49,0.8917,10,0
u120_00.txt,48,30,3,35,49,49,49,0.9551,10,0
u120_00.txt,48,30,3,50,48.8,48,49,1.1799,10,0
u120_00.txt,48,30,3,70,49,49,49,1.1159,10,0
u120_00.txt,48,30,3,90,49,49,49,1.2479,10,0
u120_00.txt,48,30,5,20,49,49,49,0.8949,10,0
u120_00.txt,48,30,5,35,49,49,49,0.9697,10,0
u120_00.txt,48,30,5,50,48.9,48,49,1.1183,10,0
u120_00.txt,48,30,5,70,49,49,49,1.1288,10,0
u120_00.txt,48,30,5,90,49,49,49,1.2704,10,0
u120_00.txt,48,60,3,20,49,49,49,1.7991,10,0
u120_00.txt,48,60,3,35,49,49,49,1.9127,10,0
u120_00.txt,48,60,3,50,48.6,48,49,2.5428,10,0
u120_00.txt,48,60,3,70,49,49,49,2.2095,10,0
u120_00.txt,48,60,3,90,49,49,49,2.4736,10,0
u120_00.txt,48,60,5,20,49,49,49,1.8096,10,0
u120_00.txt,48,60,5,35,49,49,49,1.8915,10,0
u120_00.txt,48,60,5,50,48.9,48,49,2.135,10,0
u120_00.txt,48,60,5,70,49,49,49,2.2022,10,0
u120_00.txt,48,60,5,90,49,49,49,2.4498,10,0
u120_00.txt,48,100,3,20,49,49,49,2.9428,10,0
u120_00.txt,48,100,3,35,49,49,49,3.1643,10,0
u120_00.txt,48,100,3,50,48.5,48,49,4.4065,10,0
u120_00.txt,48,100,3,70,49,49,49,3.7174,10,0
u120_00.txt,48,100,3,90,49,49,49,4.1753,10,0
u120_00.txt,48,100,5,20,49,49,49,2.9708,10,0
u120_00.txt,48,100,5,35,49,49,49,3.1912,10,0
u120_00.txt,48,100,5,50,48.8,48,49,3.7767,10,0
u120_00.txt,48,100,5,70,49,49,49,3.723,10,0
u120_00.txt,48,100,5,90,49,49,49,4.1636,10,0
