instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u250_01.txt,100,16,3,20,101,101,101,1.6509,10,0
u250_01.txt,100,16,3,35,101,101,101,1.8188,10,0
u250_01.txt,100,16,3,50,101.6,101,102,2.172,10,0
u250_01.txt,100,16,3,70,102,102,102,2.2805,10,0
u250_01.txt,100,16,3,90,102,102,102,2.5495,10,0
u250_01.txt,100,16,5,20,101,101,101,1.7202,10,0
u250_01.txt,100,16,5,35,101,101,101,1.8776,10,0
u250_01.txt,100,16,5,50,101.4,101,102,2.1645,10,0
u250_01.txt,100,16,5,70,101.9,101,102,2.3149,10,0
u250_01.txt,100,16,5,90,102,102,102,2.4643,10,0
u250_01.txt,100,30,3,20,101,101,101,3.139,10,0
u250_01.txt,100,30,3,35,101,101,101,3.4149,10,0
u250_01.txt,100,30,3,50,101,101,101,4.198,10,0
u250_01.txt,100,30,3,70,101.7,101,102,5.1484,10,0
u250_01.txt,100,30,3,90,101.9,101,102,4.9863,10,0
u250_01.txt,100,30,5,20,101,101,101,3.1328,10,0
u250_01.txt,100,30,5,35,101,101,101,3.385,10,0
u250_01.txt,100,30,5,50,101,101,101,4.1111,10,0
u250_01.txt,100,30,5,70,101.9,101,102,4.5122,10,0
u250_01.txt,100,30,5,90,102,102,102,4.7138,10,0
u250_01.txt,100,60,3,20,101,101,101,6.3115,10,0
u250_01.txt,100,60,3,35,101,101,101,6.7738,10,0
u250_01.txt,100,60,3,50,101,101,101,8.2141,10,0
u250_01.txt,100,60,3,70,101.7,101,102,9.9261,10,0
u250_01.txt,100,60,3,90,101.9,101,102,10.3003,10,0
u250_01.txt,100,60,5,20,101,101,101,6.262,10,0
u250_01.txt,100,60,5,35,101,101,101,6.8319,10,0
u250_01.txt,100,60,5,50,101,101,101,8.2089,10,0
u250_01.txt,100,60,5,70,101.9,101,102,8.3027,10,0
u250_01.txt,100,60,5,90,102,102,102,9.4255,10,0
u250_01.txt,100,100,3,20,101,101,101,10.5994,10,0
u250_01.txt,100,100,3,35,101,101,101,11.3262,10,0
u250_01.txt,100,100,3,50,101,101,101,13.8149,10,0
u250_01.txt,100,100,3,70,101.7,101,102,16.6139,10,0
u250_01.txt,100,100,3,90,101.8,101,102,17.72,10,0
u250_01.txt,100,100,5,20,101,101,101,10.4712,10,0
u250_01.txt,100,100,5,35,101,101,101,11.497,10,0
u250_01.txt,100,100,5,50,101,101,101,13.2403,10,0
u250_01.txt,100,100,5,70,101.8,101,102,16.0927,10,0
u250_01.txt,100,100,5,90,101.4,101,102,22.3598,10,0
