instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u500_01.txt,201,16,3,20,203.8,203,204,6.9073,10,0
u500_01.txt,201,16,3,35,204.3,204,205,7.8789,10,0
u500_01.txt,201,16,3,50,204.7,204,205,8.2645,10,0
u500_01.txt,201,16,3,70,205.4,205,206,9.6305,10,0
u500_01.txt,201,16,3,90,206,205,207,10.9697,10,0
u500_01.txt,201,16,5,20,204,204,204,6.4076,10,0
u500_01.txt,201,16,5,35,204.3,204,205,7.895,10,0
u500_01.txt,201,16,5,50,205,205,205,8.3011,10,0
u500_01.txt,201,16,5,70,205.5,205,206,9.7484,10,0
u500_01.txt,201,16,5,90,206.5,206,208,11.0737,10,0
u500_01.txt,201,30,3,20,203.9,203,204,13.2046,10,0
u500_01.txt,201,30,3,35,203.9,203,204,14.1743,10,0
u500_01.txt,201,30,3,50,204.3,204,205,16.6476,10,0
u500_01.txt,201,30,3,70,205.5,205,206,19.9741,10,0
u500_01.txt,201,30,3,90,205.9,205,207,22.564,10,0
u500_01.txt,201,30,5,20,203.9,203,204,12.5087,10,0
u500_01.txt,201,30,5,35,204.2,204,205,14.1498,10,0
u500_01.txt,201,30,5,50,204.8,204,205,15.6628,10,0
u500_01.txt,201,30,5,70,205.4,205,206,19.8233,10,0
u500_01.txt,201,30,5,90,205.7,204,207,24.0613,10,0
u500_01.txt,201,60,3,20,203.5,203,204,27.0844,10,0
u500_01.txt,201,60,3,35,203.8,203,204,31.3215,10,0
u500_01.txt,201,60,3,50,204.1,204,205,33.0217,10,0
u500_01.txt,201,60,3,70,205.1,205,206,40.1677,10,0
u500_01.txt,201,60,3,90,205.3,205,206,44.4461,10,0
u500_01.txt,201,60,5,20,203.5,203,204,26.1435,10,0
u500_01.txt,201,60,5,35,204,204,204,27.2262,10,0
u500_01.txt,201,60,5,50,204.1,204,205,30.6077,10,0
u500_01.txt,201,60,5,70,205.1,204,206,35.5247,10,0
u500_01.txt,201,60,5,90,205.1,204,206,42.8972,10,0
u500_01.txt,201,100,3,20,203.3,203,204,43.6872,10,0
u500_01.txt,201,100,3,35,203.3,203,204,48.9965,10,0
u500_01.txt,201,100,3,50,204,204,204,51.5768,10,0
u500_01.txt,201,100,3,70,204.5,204,205,71.6491,10,0
u500_01.txt,201,100,3,90,204.9,204,206,87.2087,10,0
u500_01.txt,201,100,5,20,203.7,203,204,40.0729,10,0
u500_01.txt,201,100,5,35,203.8,203,204,47.7248,10,0
u500_01.txt,201,100,5,50,204.1,204,205,53.9768,10,0
u500_01.txt,201,100,5,70,205.1,205,206,63.9792,10,0
u500_01.txt,201,100,5,90,205,204,206,75.3612,10,0
