instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u1000_02.txt,411,16,3,20,414.9,414,416,25.952,10,0
u1000_02.txt,411,16,3,35,416.4,416,417,28.9999,10,0
u1000_02.txt,411,16,3,50,417.2,415,418,31.771,10,0
u1000_02.txt,411,16,3,70,418.6,418,420,37.2487,10,0
u1000_02.txt,411,16,3,90,420.7,418,422,45.1094,10,0
u1000_02.txt,411,16,5,20,415.6,414,416,25.591,10,0
u1000_02.txt,411,16,5,35,416.5,416,417,28.2264,10,0
u1000_02.txt,411,16,5,50,417.6,415,419,31.1243,10,0
u1000_02.txt,411,16,5,70,418.6,418,421,36.0581,10,0
u1000_02.txt,411,16,5,90,421.7,421,422,41.2133,10,0
u1000_02.txt,411,30,3,20,414.4,414,415,46.5621,10,0
u1000_02.txt,411,30,3,35,415.2,414,416,55.548,10,0
u1000_02.txt,411,30,3,50,416.3,415,418,67.3359,10,0
u1000_02.txt,411,30,3,70,418.2,417,420,75.3396,10,0
u1000_02.txt,411,30,3,90,419.9,417,421,81.2934,10,0
u1000_02.txt,411,30,5,20,415,414,416,45.7485,10,0
u1000_02.txt,411,30,5,35,416.4,415,417,50.8148,10,0
u1000_02.txt,411,30,5,50,416.8,416,418,56.8242,10,0
u1000_02.txt,411,30,5,70,418.5,417,420,70.4061,10,0
u1000_02.txt,411,30,5,90,421,420,422,77.6844,10,0
u1000_02.txt,411,60,3,20,413.9,413,415,96.2475,10,0
u1000_02.txt,411,60,3,35,414.8,414,416,111.85,10,0
u1000_02.txt,411,60,3,50,416.1,415,417,119.264,10,0
u1000_02.txt,411,60,3,70,418.3,417,420,152.824,10,0
u1000_02.txt,411,60,3,90,419,418,420,180.049,10,0
u1000_02.txt,411,60,5,20,414.3,413,415,92.4613,10,0
u1000_02.txt,411,60,5,35,415.7,415,417,103.018,10,0
u1000_02.txt,411,60,5,50,416.3,415,418,115.038,10,0
u1000_02.txt,411,60,5,70,418.7,417,420,134.113,10,0
u1000_02.txt,411,60,5,90,420.7,420,421,157.823,10,0
u1000_02.txt,411,100,3,20,413.7,413,414,160.784,10,0
u1000_02.txt,411,100,3,35,414.6,414,415,188.22,10,0
u1000_02.txt,411,100,3,50,415.7,415,417,199.827,10,0
u1000_02.txt,411,100,3,70,417,416,418,269.005,10,0
u1000_02.txt,411,100,3,90,418.6,418,419,306.211,10,0
u1000_02.txt,411,100,5,20,414.4,414,415,156.134,10,0
u1000_02.txt,411,100,5,35,415.3,415,416,174.477,10,0
u1000_02.txt,411,100,5,50,416.1,415,417,196.245,10,0
u1000_02.txt,411,100,5,70,418.3,417,420,241.842,10,0
u1000_02.txt,411,100,5,90,419.3,418,421,281.047,10,0
