instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u1000_01.txt,406,16,3,20,411,411,411,24.6864,10,0
u1000_01.txt,406,16,3,35,411,411,411,26.466,10,0
u1000_01.txt,406,16,3,50,411.6,411,412,30.101,10,0
u1000_01.txt,406,16,3,70,413,413,413,33.8862,10,0
u1000_01.txt,406,16,3,90,412.8,412,414,39.1078,10,0
u1000_01.txt,406,16,5,20,411,411,411,23.9182,10,0
u1000_01.txt,406,16,5,35,410.9,410,411,25.8482,10,0
u1000_01.txt,406,16,5,50,411.4,411,412,30.809,10,0
u1000_01.txt,406,16,5,70,412.9,412,413,36.0728,10,0
u1000_01.txt,406,16,5,90,412.8,412,413,39.2958,10,0
u1000_01.txt,406,30,3,20,411,411,411,44.1421,10,0
u1000_01.txt,406,30,3,35,410.9,410,411,48.4137,10,0
u1000_01.txt,406,30,3,50,411,411,411,59.0243,10,0
u1000_01.txt,406,30,3,70,412.8,412,413,63.0041,10,0
u1000_01.txt,406,30,3,90,412.5,412,413,79.7562,10,0
u1000_01.txt,406,30,5,20,411,411,411,42.6325,10,0
u1000_01.txt,406,30,5,35,410.9,410,411,50.3371,10,0
u1000_01.txt,406,30,5,50,411.1,411,412,55.6962,10,0
u1000_01.txt,406,30,5,70,412.9,412,413,59.4464,10,0
u1000_01.txt,406,30,5,90,412.5,412,413,80.4064,10,0
u1000_01.txt,406,60,3,20,411,411,411,85.4151,10,0
u1000_01.txt,406,60,3,35,410.6,410,411,103.071,10,0
u1000_01.txt,406,60,3,50,411,411,411,112.82,10,0
u1000_01.txt,406,60,3,70,412.6,412,413,137.847,10,0
u1000_01.txt,406,60,3,90,411.6,411,412,170.416,10,0
u1000_01.txt,406,60,5,20,411,411,411,86.8345,10,0
u1000_01.txt,406,60,5,35,410.5,410,411,97.8838,10,0
u1000_01.txt,406,60,5,50,411,411,411,114.193,10,0
u1000_01.txt,406,60,5,70,412.8,412,413,124.716,10,0
u1000_01.txt,406,60,5,90,411.9,411,412,146.173,10,0
u1000_01.txt,406,100,3,20,411,411,411,142.143,10,0
u1000_01.txt,406,100,3,35,410.6,410,411,177.797,10,0
u1000_01.txt,406,100,3,50,411,411,411,187.786,10,0
u1000_01.txt,406,100,3,70,412.2,412,413,253.883,10,0
u1000_01.txt,406,100,3,90,411.8,411,412,278.626,10,0
u1000_01.txt,406,100,5,20,411,411,411,141.753,10,0
u1000_01.txt,406,100,5,35,410.6,410,411,176.194,10,0
u1000_01.txt,406,100,5,50,411,411,411,186.289,10,0
u1000_01.txt,406,100,5,70,412.3,412,413,232.262,10,0
u1000_01.txt,406,100,5,90,411.8,411,412,261.535,10,0
