instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u250_00.txt,99,16,3,20,100,100,100,1.7834,10,0
u250_00.txt,99,16,3,35,100,100,100,1.981,10,0
u250_00.txt,99,16,3,50,100.3,100,101,2.4904,10,0
u250_00.txt,99,16,3,70,101,101,101,2.3502,10,0
u250_00.txt,99,16,3,90,101,101,101,2.7343,10,0
u250_00.txt,99,16,5,20,100,100,100,1.7945,10,0
u250_00.txt,99,16,5,35,100,100,100,1.8548,10,0
u250_00.txt,99,16,5,50,100.2,100,101,2.3582,10,0
u250_00.txt,99,16,5,70,101,101,101,2.2647,10,0
u250_00.txt,99,16,5,90,101,101,101,2.5551,10,0
u250_00.txt,99,30,3,20,100,100,100,3.2452,10,0
u250_00.txt,99,30,3,35,100,100,100,3.4702,10,0
u250_00.txt,99,30,3,50,100.2,100,101,4.9141,10,0
u250_00.txt,99,30,3,70,101,101,101,4.2925,10,0
u250_00.txt,99,30,3,90,101,101,101,4.9345,10,0
u250_00.txt,99,30,5,20,100,100,100,3.2233,10,0
u250_00.txt,99,30,5,35,100,100,100,3.4925,10,0
u250_00.txt,99,30,5,50,100,100,100,4.909,10,0
u250_00.txt,99,30,5,70,101,101,101,4.301,10,0
u250_00.txt,99,30,5,90,101,101,101,4.8395,10,0
u250_00.txt,99,60,3,20,100,100,100,6.4394,10,0
u250_00.txt,99,60,3,35,100,100,100,6.9755,10,0
u250_00.txt,99,60,3,50,100,100,100,9.2509,10,0
u250_00.txt,99,60,3,70,101,101,101,8.6167,10,0
u250_00.txt,99,60,3,90,101,101,101,10.1569,10,0
u250_00.txt,99,60,5,20,100,100,100,6.5065,10,0
u250_00.txt,99,60,5,35,100,100,100,7.0842,10,0
u250_00.txt,99,60,5,50,100,100,100,8.8645,10,0
u250_00.txt,99,60,5,70,101,101,101,8.5896,10,0
u250_00.txt,99,60,5,90,101,101,101,9.9168,10,0
u250_00.txt,99,100,3,20,100,100,100,10.7314,10,0
u250_00.txt,99,100,3,35,100,100,100,11.6529,10,0
u250_00.txt,99,100,3,50,100,100,100,15.2643,10,0
u250_00.txt,99,100,3,70,100.9,100,101,15.9604,10,0
u250_00.txt,99,100,3,90,101,101,101,16.8829,10,0
u250_00.txt,99,100,5,20,100,100,100,10.9367,10,0
u250_00.txt,99,100,5,35,100,100,100,11.6997,10,0
u250_00.txt,99,100,5,50,100,100,100,14.3355,10,0
u250_00.txt,99,100,5,70,100.9,100,101,14.5101,10,0
u250_00.txt,99,100,5,90,101,101,101,16.7506,10,0
