instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u500_02.txt,202,16,3,20,205,205,205,6.202,10,0
u500_02.txt,202,16,3,35,205,205,205,6.7326,10,0
u500_02.txt,202,16,3,50,205,205,205,7.5661,10,0
u500_02.txt,202,16,3,70,205.8,205,206,9.3404,10,0
u500_02.txt,202,16,3,90,205.6,205,206,10.8683,10,0
u500_02.txt,202,16,5,20,205,205,205,6.0343,10,0
u500_02.txt,202,16,5,35,205,205,205,6.6489,10,0
u500_02.txt,202,16,5,50,205,205,205,7.3445,10,0
u500_02.txt,202,16,5,70,205.9,205,206,8.4851,10,0
u500_02.txt,202,16,5,90,205.6,205,206,10.4642,10,0
u500_02.txt,202,30,3,20,205,205,205,11.4087,10,0
u500_02.txt,202,30,3,35,205,205,205,12.307,10,0
u500_02.txt,202,30,3,50,205,205,205,13.782,10,0
u500_02.txt,202,30,3,70,205.6,205,206,17.8626,10,0
u500_02.txt,202,30,3,90,205.6,205,206,20.9419,10,0
u500_02.txt,202,30,5,20,205,205,205,11.5007,10,0
u500_02.txt,202,30,5,35,205,205,205,12.2918,10,0
u500_02.txt,202,30,5,50,205,205,205,13.8048,10,0
u500_02.txt,202,30,5,70,206,206,206,15.4864,10,0
u500_02.txt,202,30,5,90,205.3,205,206,22.5576,10,0
u500_02.txt,202,60,3,20,205,205,205,22.8945,10,0
u500_02.txt,202,60,3,35,205,205,205,24.716,10,0
u500_02.txt,202,60,3,50,204.8,204,205,29.9121,10,0
u500_02.txt,202,60,3,70,205.2,205,206,42.1747,10,0
u500_02.txt,202,60,3,90,205,205,205,50.8188,10,0
u500_02.txt,202,60,5,20,205,205,205,22.7224,10,0
u500_02.txt,202,60,5,35,205,205,205,24.6417,10,0
u500_02.txt,202,60,5,50,205,205,205,27.5829,10,0
u500_02.txt,202,60,5,70,205.1,205,206,45.4931,10,0
u500_02.txt,202,60,5,90,205.1,205,206,44.1305,10,0
u500_02.txt,202,100,3,20,205,205,205,36.6344,10,0
u500_02.txt,202,100,3,35,205,205,205,39.6461,10,0
u500_02.txt,202,100,3,50,204.8,204,205,52.1043,10,0
u500_02.txt,202,100,3,70,205,205,205,78.7789,10,0
u500_02.txt,202,100,3,90,205,205,205,77.5927,10,0
u500_02.txt,202,100,5,20,205,205,205,36.5937,10,0
u500_02.txt,202,100,5,35,204.9,204,205,43.9251,10,0
u500_02.txt,202,100,5,50,205,205,205,44.2322,10,0
u500_02.txt,202,100,5,70,205,205,205,78.6012,10,0
u500_02.txt,202,100,5,90,205.1,205,206,66.6688,10,0
